Element,Eads,d-band,element_symbol,atomic_number,atomic_mass,covalent_radius,vdw_radius,oxidation_state,is_transition_metal,is_lanthanide,is_actinide,d_band
Co,-0.672904,-0.876,Co,27.0,58.933194,1.26,,0.0,1.0,0.0,0.0,-0.876
Cu,-0.295431,-1.632,Cu,29.0,63.546,1.32,1.4,0.0,1.0,0.0,0.0,-1.632
Fe3+,-0.610658,-1.775,Fe,26.0,55.845,1.32,,3.0,1.0,0.0,0.0,-1.775
Mn3+,-0.61036,-0.527,Mn,25.0,54.938044,1.39,,3.0,1.0,0.0,0.0,-0.527
Ni3+,-0.48978464,-1.562,Ni,28.0,58.6934,1.24,1.63,3.0,1.0,0.0,0.0,-1.562
W,-1.228395,-0.233,W,74.0,183.84,1.62,,0.0,1.0,0.0,0.0,-0.233
Ce,-1.123102,3.526,Ce,58.0,140.116,2.04,,0.0,0.0,1.0,0.0,3.526
Cr,-1.066463,-0.309,Cr,24.0,51.9961,1.39,,0.0,1.0,0.0,0.0,-0.309
Gd,-1.148165,3.396,Gd,64.0,157.25,1.96,,0.0,0.0,1.0,0.0,3.396
Hf,-1.275732,0.053,Hf,72.0,178.49,1.75,,0.0,1.0,0.0,0.0,0.053
U,-1.189183,1.647,U,92.0,238.02891,1.96,1.86,0.0,0.0,0.0,1.0,1.647
Lu,-1.163288,3.857,Lu,71.0,174.9668,1.87,,0.0,0.0,1.0,0.0,3.857
Y,-1.11434612,3.557,Y,39.0,88.90584,1.9,,0.0,1.0,0.0,0.0,3.557
Sc,-1.035124,2.858,Sc,21.0,44.955908,1.7,,0.0,1.0,0.0,0.0,2.858
Ba,-0.780556,6.183,Ba,56.0,137.327,2.15,2.49,0.0,0.0,0.0,0.0,6.183
Ca,-0.745662,6.372,Ca,20.0,40.078,1.76,2.31,0.0,0.0,0.0,0.0,6.372
Sr,-0.79583,4.56,Sr,38.0,87.62,1.95,2.49,0.0,0.0,0.0,0.0,4.56
Nd,-1.137888,3.522,Nd,60.0,144.242,2.01,,0.0,0.0,1.0,0.0,3.522
Sm,-1.107748,3.193,Sm,62.0,150.36,1.98,,0.0,0.0,1.0,0.0,3.193
